Ticker,spx,dax,ftse,nikkei
Price,,,,
Date,,,,
2020-01-03,3234.85009765625,13219.1396484375,7622.39990234375,
2020-01-06,3246.280029296875,13126.990234375,7575.2998046875,23204.859375
2020-01-07,3237.179931640625,13226.830078125,7573.89990234375,23575.720703125
2020-01-08,3253.050048828125,13320.1796875,7574.89990234375,23204.759765625
2020-01-09,3274.699951171875,13495.0595703125,7598.10009765625,23739.869140625
2020-01-10,3265.35009765625,13483.3095703125,7587.89990234375,23850.5703125
2020-01-13,3288.1298828125,13451.51953125,7617.60009765625,23850.5703125
2020-01-14,3283.14990234375,13456.490234375,7622.39990234375,24025.169921875
2020-01-15,3289.2900390625,13432.2998046875,7642.7998046875,23916.580078125
2020-01-16,3316.81005859375,13429.4296875,7609.7998046875,23933.130859375
2020-01-17,3329.6201171875,13526.1298828125,7674.60009765625,24041.259765625
2020-01-20,3329.6201171875,13548.9404296875,7651.39990234375,24083.509765625
2020-01-21,3320.7900390625,13555.8701171875,7610.7001953125,23864.560546875
2020-01-22,3321.75,13515.75,7571.89990234375,24031.349609375
2020-01-23,3325.5400390625,13388.419921875,7507.7001953125,23795.439453125
2020-01-24,3295.469970703125,13576.6796875,7586.0,23827.1796875
2020-01-27,3243.6298828125,13204.76953125,7412.10009765625,23343.509765625
2020-01-28,3276.239990234375,13323.6904296875,7480.7001953125,23215.7109375
2020-01-29,3273.39990234375,13345.0,7483.60009765625,23379.400390625
2020-01-30,3283.659912109375,13157.1201171875,7382.0,22977.75
2020-01-31,3225.52001953125,12981.9697265625,7286.0,23205.1796875
2020-02-03,3248.919921875,13045.1904296875,7326.2998046875,22971.939453125
2020-02-04,3297.590087890625,13281.740234375,7439.7998046875,23084.58984375
2020-02-05,3334.68994140625,13478.330078125,7482.5,23319.560546875
2020-02-06,3345.780029296875,13574.8203125,7504.7998046875,23873.58984375
2020-02-07,3327.7099609375,13513.8095703125,7466.7001953125,23827.98046875
2020-02-10,3352.090087890625,13494.0302734375,7446.89990234375,23685.98046875
2020-02-11,3357.75,13627.83984375,7499.39990234375,23685.98046875
2020-02-12,3379.449951171875,13749.7802734375,7534.39990234375,23861.2109375
2020-02-13,3373.93994140625,13745.4296875,7452.0,23827.73046875
2020-02-14,3380.159912109375,13744.2099609375,7409.10009765625,23687.58984375
2020-02-17,3380.159912109375,13783.8896484375,7433.2998046875,23523.240234375
2020-02-18,3370.2900390625,13681.1904296875,7382.0,23193.80078125
2020-02-19,3386.14990234375,13789.0,7457.0,23400.69921875
2020-02-20,3373.22998046875,13664.0,7436.60009765625,23479.150390625
2020-02-21,3337.75,13579.330078125,7403.89990234375,23386.740234375
2020-02-24,3225.889892578125,13035.240234375,7156.7998046875,23386.740234375
2020-02-25,3128.2099609375,12790.490234375,7017.89990234375,22605.41015625
2020-02-26,3116.389892578125,12774.8798828125,7042.5,22426.189453125
2020-02-27,2978.760009765625,12367.4599609375,6796.39990234375,21948.23046875
2020-02-28,2954.219970703125,11890.349609375,6580.60009765625,21142.9609375
2020-03-02,3090.22998046875,11857.8701171875,6654.89990234375,21344.080078125
2020-03-03,3003.3701171875,11985.3896484375,6718.2001953125,21082.73046875
2020-03-04,3130.1201171875,12127.6904296875,6815.60009765625,21100.060546875
2020-03-05,3023.93994140625,11944.7197265625,6705.39990234375,21329.119140625
2020-03-06,2972.3701171875,11541.8701171875,6462.60009765625,20749.75
2020-03-09,2746.56005859375,10625.01953125,5965.7998046875,19698.759765625
2020-03-10,2882.22998046875,10475.490234375,5960.2001953125,19867.119140625
2020-03-11,2741.3798828125,10438.6796875,5876.5,19416.060546875
2020-03-12,2480.639892578125,9161.1298828125,5237.5,18559.630859375
2020-03-13,2711.02001953125,9232.080078125,5366.10009765625,17431.05078125
2020-03-16,2386.1298828125,8742.25,5151.10009765625,17002.0390625
2020-03-17,2529.18994140625,8939.099609375,5294.89990234375,17011.529296875
2020-03-18,2398.10009765625,8441.7099609375,5080.60009765625,16726.55078125
2020-03-19,2409.389892578125,8610.4296875,5151.60009765625,16552.830078125
2020-03-20,2304.919921875,8928.9501953125,5190.7998046875,16552.830078125
2020-03-23,2237.39990234375,8741.150390625,4993.89990234375,16887.779296875
2020-03-24,2447.330078125,9700.5703125,5446.0,18092.349609375
2020-03-25,2475.56005859375,9874.259765625,5688.2001953125,19546.630859375
2020-03-26,2630.070068359375,10000.9599609375,5815.7001953125,18664.599609375
2020-03-27,2541.469970703125,9632.51953125,5510.2998046875,19389.4296875
2020-03-30,2626.64990234375,9815.9697265625,5563.7001953125,19084.970703125
2020-03-31,2584.590087890625,9935.83984375,5672.0,18917.009765625
2020-04-01,2470.5,9544.75,5454.60009765625,18065.41015625
2020-04-02,2526.89990234375,9570.8203125,5480.2001953125,17818.720703125
2020-04-03,2488.64990234375,9525.76953125,5415.5,17820.189453125
